ID,pit,TPS_order,side,length,length_cm,weight,rearing,rearing_side,K,pec_length_left,pec_length_right,pec_mean,pec_div_adj,pec_diff,pec_diff_direction,mouth_length_left,mouth_length_right,mouth_mean,mouth_diff,mouth_diff_direction,eye_width_left,eye_width_right,eye_width_mean,eye_width_diff,eye_width_diff_direction
DSC_0240.JPG,510397,34,left,73,7.3,4.2,wild reared,wild reared_left,1.370501304,1.676429558,1.628856401,1.652642979,0.226389449,0.047573157,0.047573157,0.211090188,0.248207396,0.229648792,0.037117208,-0.037117208,0.48535003,0.502317531,0.49383378,0.016967501,-0.016967501
DSC_0244.JPG,510882,35,left,81,8.1,5.7,wild reared,wild reared_left,1.378599134,1.848845434,1.740458856,1.794652145,0.221561993,0.108386578,0.108386578,0.245108315,0.269410889,0.257259602,0.024302574,-0.024302574,0.516249619,0.546051902,0.53115076,0.029802284,-0.029802283
DSC_0248.JPG,510345,36,left,84,8.4,5,wild reared,wild reared_left,1.089044586,1.844295146,1.650754347,1.747524747,0.20803866,0.193540799,0.193540799,0.290653134,0.23611739,0.263385262,0.054535745,0.054535744,0.503209828,0.489731041,0.496470434,0.013478787,0.013478787
DSC_0252.JPG,510316,37,left,76,7.6,4.3,wild reared,wild reared_left,1.249468494,1.64250015,1.513912876,1.578206513,0.207658752,0.128587274,0.128587274,0.256042406,0.261299822,0.258671114,0.005257416,-0.005257416,0.519696381,0.526635954,0.523166168,0.006939573,-0.006939573
DSC_0256.JPG,510839,38,left,70,7,3.6,wild reared,wild reared_left,1.325623351,1.619687214,1.695979913,1.657833563,0.236833366,0.076292699,-0.076292699,0.239887439,0.214125613,0.227006526,0.025761826,0.025761826,0.443445,0.489538155,0.466491578,0.046093155,-0.046093155
DSC_0260.JPG,510385,39,left,80,8,4.9,wild reared,wild reared_left,1.228278691,1.813183261,1.532682348,1.672932805,0.209116601,0.280500913,0.280500913,0.277474699,0.214404,0.24593935,0.063070699,0.063070699,0.488242044,0.502525294,0.495383669,0.01428325,-0.01428325
DSC_0264.JPG,510376,40,left,77,7.7,4.8,wild reared,wild reared_left,1.343222472,1.707397535,1.547493556,1.627445545,0.211356564,0.159903979,0.159903979,0.246458318,0.217808181,0.23213325,0.028650137,0.028650137,0.516391831,0.504726268,0.510559049,0.011665563,0.011665563
DSC_0271.JPG,510871,41,left,77,7.7,3.7,wild reared,wild reared_left,1.035400655,1.680256148,1.592714473,1.636485311,0.21253056,0.087541675,0.087541675,0.217071881,0.252594463,0.234833172,0.035522582,-0.035522582,0.438242861,0.454305615,0.446274238,0.016062754,-0.016062754
DSC_0275.JPG,510354,42,left,79,7.9,5.3,wild reared,wild reared_left,1.377557852,1.867104576,1.67216346,1.769634018,0.224004306,0.194941116,0.194941116,0.232422207,0.30822087,0.270321538,0.075798663,-0.075798663,0.526889752,0.495382359,0.511136055,0.031507393,0.031507393
DSC_0279.JPG,510301,43,left,72,7.2,4.2,wild reared,wild reared_left,1.426039978,1.663746458,1.655328003,1.65953723,0.230491282,0.008418455,0.008418455,0.242638595,0.208694305,0.22566645,0.03394429,0.03394429,0.441773955,0.460348798,0.451061377,0.018574843,-0.018574843
DSC_0283.JPG,510381,44,left,73,7.3,3.8,wild reared,wild reared_left,1.239977371,1.737166552,1.617418317,1.677292434,0.229766087,0.119748235,0.119748235,0.29121553,0.27848327,0.2848494,0.01273226,0.01273226,0.459749033,0.483068001,0.471408517,0.023318968,-0.023318968
DSC_0287.JPG,510339,45,left,77,7.7,4.3,wild reared,wild reared_left,1.203303464,1.806522471,1.548383052,1.677452762,0.217851008,0.258139419,0.258139419,0.206028385,0.214334437,0.210181411,0.008306052,-0.008306052,0.485387483,0.484721838,0.485054661,0.000665645,0.000665645
DSC_0291.JPG,510834,46,left,67,6.7,3.8,wild reared,wild reared_left,1.587406539,1.485485936,1.559588033,1.522536984,0.227244326,0.074102097,-0.074102097,0.178572558,0.251015239,0.214793898,0.072442681,-0.072442681,0.428196179,0.419349,0.42377259,0.008847179,0.008847179
DSC_0295.JPG,510850,47,left,86,8.6,5.8,wild reared,wild reared_left,1.180517567,1.854696923,1.68481463,1.769755776,0.205785555,0.169882293,0.169882293,0.243468505,0.208408291,0.225938398,0.035060213,0.035060214,0.523923397,0.530641563,0.52728248,0.006718166,-0.006718166
DSC_0299.JPG,510830,48,left,72,7.2,3.7,wild reared,wild reared_left,1.256273314,1.617290836,1.634972637,1.626131736,0.22585163,0.017681801,-0.017681801,0.230629062,0.263365166,0.246997114,0.032736103,-0.032736104,0.434031449,0.449067346,0.441549398,0.015035897,-0.015035897
DSC_0303.JPG,510843,49,left,77,7.7,5,wild reared,wild reared_left,1.399190075,1.709629156,1.461866952,1.585748054,0.205941306,0.247762204,0.247762204,0.209173208,0.227016,0.218094604,0.017842792,-0.017842792,0.475937814,0.483068001,0.479502908,0.007130187,-0.007130187
DSC_0307.JPG,510313,50,left,74,7.4,4.2,wild reared,wild reared_left,1.317837731,1.67680122,1.425926603,1.551363911,0.209643772,0.250874617,0.250874617,0.187068026,0.221384612,0.204226319,0.034316586,-0.034316586,0.465629969,0.482450214,0.474040091,0.016820245,-0.016820245
DSC_0311.JPG,510355,51,left,86,8.6,6.1,wild reared,wild reared_left,1.24157882,1.832564598,1.532325561,1.68244508,0.195633149,0.300239037,0.300239037,0.222550324,0.229476891,0.226013608,0.006926567,-0.006926567,0.507508383,0.501961165,0.504734774,0.005547218,0.005547218
DSC_0318.JPG,510829,52,left,77,7.7,5.1,wild reared,wild reared_left,1.427173876,1.727020587,1.409394527,1.568207557,0.203663319,0.31762606,0.31762606,0.195397557,0.201644149,0.198520853,0.006246592,-0.006246592,0.459749033,0.488175641,0.473962337,0.028426608,-0.028426608
DSC_0322.JPG,510888,53,left,84,8.4,4.5,wild reared,wild reared_left,0.980140128,1.879293241,1.843912033,1.861602637,0.221619362,0.035381208,0.035381208,0.236143695,0.290504081,0.263323888,0.054360386,-0.054360386,0.553605347,0.517562813,0.53558408,0.036042534,0.036042534
DSC_0326.JPG,510362,54,left,83,8.3,5.2,wild reared,wild reared_left,1.172353104,1.819416978,1.723976095,1.771696536,0.213457414,0.095440883,0.095440883,0.239054026,0.369963943,0.304508985,0.130909917,-0.130909917,0.489440894,0.498981551,0.494211222,0.009540658,-0.009540657
DSC_0330.JPG,510308,55,left,67,6.7,3.6,wild reared,wild reared_left,1.503858826,1.528589927,1.653834912,1.59121242,0.237494391,0.125244985,-0.125244985,0.202450876,0.272200884,0.23732588,0.069750008,-0.069750008,0.428998011,0.482450214,0.455724113,0.053452203,-0.053452203
DSC_0334.JPG,510363,56,left,80,8,5.2,wild reared,wild reared_left,1.303479427,1.832380274,1.501900696,1.667140485,0.208392561,0.330479578,0.330479578,0.203220144,0.217191127,0.210205636,0.013970983,-0.013970983,0.525198589,0.507633,0.516415795,0.017565589,0.017565589
DSC_0338.JPG,510320,57,left,73,7.3,4.2,wild reared,wild reared_left,1.370501304,1.69033237,1.720882444,1.705607407,0.23364485,0.030550074,-0.030550074,0.248213362,0.278358297,0.26328583,0.030144935,-0.030144935,0.473091093,0.481284562,0.477187827,0.00819347,-0.008193469
DSC_0345.JPG,510311,58,left,76,7.6,4.2,wild reared,wild reared_left,1.220411088,1.764817686,1.677473045,1.721145366,0.226466496,0.087344641,0.087344641,0.241617985,0.272054756,0.25683637,0.03043677,-0.030436771,0.491279553,0.491878106,0.491578829,0.000598553,-0.000598553
DSC_0349.JPG,510361,59,left,80,8,5.8,wild reared,wild reared_left,1.4538809,1.871285571,1.804775107,1.838030339,0.229753792,0.066510464,0.066510464,0.223914282,0.266367858,0.24514107,0.042453576,-0.042453576,0.51647948,0.501416228,0.508947854,0.015063252,0.015063252
DSC_0353.JPG,510387,60,left,69,6.9,3.5,wild reared,wild reared_left,1.343329843,1.582277009,1.447378116,1.514827563,0.219540227,0.134898893,0.134898893,0.169929632,0.189206273,0.179567952,0.019276642,-0.019276641,0.473369178,0.463533896,0.468451537,0.009835282,0.009835282
DSC_0362.JPG,510807,61,left,78,7.8,4.4,wild reared,wild reared_left,1.186370177,1.686294921,1.55243231,1.619363615,0.20761072,0.133862611,0.133862611,0.208852628,0.261242747,0.235047687,0.052390119,-0.052390119,0.549538693,0.498533073,0.524035883,0.05100562,0.05100562
